"input","stem"
"abandonar","abandon"
"aberrante","aberr"
"abominación","abomin"
"aborrecer","aborrec"
"abrumar","abrum"
"absurdo","absurd"
"abuchear","abuch"
"aburrido","aburr"
"abusar","abus"
"accesible","acces"
"aclarar","aclar"
"acosar","acos"
"activo","activ"
"acusar","acus"
"adaptable","adapt"
"adecuado","adecu"
"adicto","adict"
"admirar","admir"
"adorar","ador"
"adversario","adversari"
"advertencia","advertent"
"afecto","afect"
"afinidad","afin"
"afortunado","afortun"
"agonía","agon"
"agotado","agot"
"agraciado","agraci"
"agradable","agrad"
"agradecido","agradec"
"agresión","agresion"
"aguafiestas","aguafiest"
"alegar","aleg"
"alentar","alent"
"alfabetizado","alfabetiz"
"alivio","alivi"
"amable","amabl"
"amado","amad"
"amargo","amarg"
"ambicioso","ambici"
"ambiguo","ambigu"
"ameno","amen"
"amenaza","amenaz"
"amistad","amist"
"amor","amor"
"andrajoso","andraj"
"ángel","angel"
"angustia","angusti"
"animado","anim"
"anticuado","anticu"
"apasionado","apasion"
"apático","apat"
"apenado","apen"
"aportar","aport"
"apreciar","apreci"
"aprender","aprend"
"aprendizaje","aprendizaj"
"aprobar","aprob"
"apropiado","apropi"
"apto","apto"
"ardúo","ardu"
"arrepentido","arrepent"
"arrogante","arrog"
"asco","asco"
"asegurar","asegur"
"asesorar","asesor"
"asistir","asist"
"asqueroso","asquer"
"astuto","astut"
"atento","atent"
"atormentar","atorment"
"atractivo","atract"
"atrasar","atras"
"atrevido","atrev"
"aturdir","aturd"
"audaz","audaz"
"ausente","ausent"
"autoritario","autoritari"
"autosuficiente","autosuficient"
"avanzado","avanz"
"avergonzar","avergonz"
"ayudar","ayud"
"baboso","babos"
"bárbaro","barbar"
"bastardo","bastard"
"basura","basur"
"beneficio","benefici"
"berrinche","berrinch"
"bromear","brom"
"bien","bien"
"bienestar","bienest"
"bipolar","bipol"
"blasfemia","blasfemi"
"bobo","bob"
"bondadoso","bondad"
"bonito","bonit"
"borracho","borrach"
"bostezo","bostez"
"brillante","brillant"
"brinda","brind"
"broma","brom"
"brusco","brusc"
"brutal","brutal"
"bueno","buen"
"burla","burl"
"caballeroso","caballer"
"calamidad","calam"
"calidad","calid"
"calificado","calific"
"calma","calm"
"calumnia","calumni"
"camaradas","camar"
"campeón","campeon"
"canalla","canall"
"cansado","cans"
"caos","caos"
"caótico","caotic"
"capacidad","capac"
"capaz","capaz"
"caprichoso","caprich"
"carente","carent"
"carga","carg"
"cariñoso","cariñ"
"carisma","carism"
"castigo","castig"
"catástrofe","catastrof"
"cautela","cautel"
"cautivar","cautiv"
"ceder","ced"
"censura","censur"
"centrado","centr"
"chantaje","chantaj"
"chiflado","chifl"
"chismoso","chismos"
"chocante","chocant"
"cínico","cinic"
"claridad","clarid"
"claro","clar"
"cobarde","cobard"
"coherente","coherent"
"cómico","comic"
